G5a Token Report: input

xh_d = 15.000
phase2 multipliers: tall=2.8, thin=0.35, wide=3.0, flat=0.25
near-square band: [0.9, 1.1]

Counts by kind:
  FLOATER_BLOB_TOKEN: 242
  H_RUN: 456
  WD_SPACE: 346
  WIDE_SPACE: 33

Counts by shape:
  -: 835
  FloaterBlobLike: 242

Token list (sorted by top,left):
  idx  kind               shape            txt len  l   t   r   b   w   h   members
  379  WD_SPACE           -                 N    0  1201 700 1208 717   7  17        0
  380  H_RUN              -                 Y    1  1208 700 1218 717  10  17        1
  381  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  429 701 438 717   9  16        1
  382  H_RUN              -                 Y    1  459 701 467 717   8  16        1
  383  WD_SPACE           -                 N    0  467 701 473 717   6  16        0
  384  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1163 701 1172 717   9  16        1
  385  H_RUN              -                 Y    1  1193 701 1201 717   8  16        1
  386  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1238 701 1246 717   8  16        1
  387  H_RUN              -                 Y    1  473 705 490 716  17  11        1
  388  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1071 705 1080 716   9  11        1
  389  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  337 733 352 749  15  16        1
  390  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  386 733 401 749  15  16        1
  391  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1074 733 1089 749  15  16        1
  392  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1119 738 1134 754  15  16        1
  393  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  352 745 360 758   8  13        1
  394  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  401 745 409 758   8  13        1
  395  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1089 745 1097 758   8  13        1
  396  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1134 749 1142 757   8   8        1
  397  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  541 760 558 763  17   3        1
  398  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1264 760 1281 763  17   3        1
  399  H_RUN              -                 Y    1  334 761 366 799  32  38        1
  400  WD_SPACE           -                 N    0  366 761 383 799  17  38        0
  401  H_RUN              -                 Y    1  383 761 415 799  32  38        1
  402  WD_SPACE           -                 N    0  415 761 427 799  12  38        0
  403  H_RUN              -                 Y    1  1071 761 1103 799  32  38        1
  404  WD_SPACE           -                 N    0  1103 761 1116 799  13  38        0
  405  H_RUN              -                 Y    1  1116 761 1148 799  32  38        1
  406  WD_SPACE           -                 N    0  1148 761 1158 799  10  38        0
  407  WD_SPACE           -                 N    0  499 763 505 795   6  32        0
  408  H_RUN              -                 Y    1  505 763 512 795   7  32        1
  409  WD_SPACE           -                 N    0  512 763 516 795   4  32        0
  410  H_RUN              -                 Y    2  516 763 534 795  18  32        2
  411  WD_SPACE           -                 N    0  534 763 539 795   5  32        0
  412  WD_SPACE           -                 N    0  1220 763 1226 795   6  32        0
  413  H_RUN              -                 Y    1  1226 763 1233 795   7  32        1
  414  WD_SPACE           -                 N    0  1233 763 1237 795   4  32        0
  415  H_RUN              -                 Y    2  1237 763 1255 795  18  32        2
  416  WD_SPACE           -                 N    0  1255 763 1260 795   5  32        0
  417  H_RUN              -                 Y    5  1158 764 1220 795  62  31        5
  418  H_RUN              -                 Y    2  160 765 182 794  22  29        2
  419  H_RUN              -                 Y    2  191 765 214 794  23  29        2
  420  WD_SPACE           -                 N    0  182 766 191 787   9  21        0
  421  WD_SPACE           -                 N    0  452 767 473 795  21  28        0
  422  H_RUN              -                 Y    2  473 767 499 795  26  28        2
  423  H_RUN              -                 Y    1  539 767 555 795  16  28        1
  424  H_RUN              -                 Y    2  1260 767 1289 795  29  28        2
  425  H_RUN              -                 Y    2  427 772 452 795  25  23        2
  426  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  298 776 319 777  21   1        1
  427  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1035 776 1056 777  21   1        1
  428  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  298 782 319 783  21   1        1
  429  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  453 782 470 793  17  11        1
  430  H_RUN              -                 Y    1  556 782 573 793  17  11        1
  431  WD_SPACE           -                 N    0  573 782 580 793   7  11        0
  432  H_RUN              -                 Y    2  580 782 594 793  14  11        2
  433  WIDE_SPACE         -                 N    0  594 782 1296 793 702  11        0
  434  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1035 782 1056 783  21   1        1
  435  H_RUN              -                 Y    2  1296 782 1310 793  14  11        2
  436  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  413 803 421 819   8  16        1
  437  WD_SPACE           -                 N    0  1105 803 1112 820   7  17        0
  438  H_RUN              -                 Y    1  1112 803 1122 820  10  17        1
  439  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  330 804 339 820   9  16        1
  440  H_RUN              -                 Y    1  360 804 368 820   8  16        1
  441  WD_SPACE           -                 N    0  368 804 375 820   7  16        0
  442  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1067 804 1076 820   9  16        1
  443  H_RUN              -                 Y    1  1097 804 1105 820   8  16        1
  444  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1142 804 1150 820   8  16        1
  445  H_RUN              -                 Y    1  375 808 392 819  17  11        1
  446  H_RUN              -                 Y    2  318 874 367 912  49  38        2
  447  H_RUN              -                 Y    1  390 874 399 892   9  18        1
  448  WD_SPACE           -                 N    0  399 874 410 906  11  32        0
  449  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  544 874 562 878  18   4        1
  450  H_RUN              -                 Y    2  792 874 835 912  43  38        2
  451  H_RUN              -                 Y    1  858 874 867 892   9  18        1
  452  WD_SPACE           -                 N    0  867 874 878 906  11  32        0
  453  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  219 876 237 880  18   4        1
  454  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  701 876 719 880  18   4        1
  455  WIDE_SPACE         -                 N    0  459 880 484 915  25  35        0
  456  H_RUN              -                 Y    1  484 880 492 915   8  35        1
  457  WD_SPACE           -                 N    0  492 880 497 915   5  35        0
  458  WD_SPACE           -                 N    0  513 880 525 915  12  35        0
  459  H_RUN              -                 Y    1  525 880 533 915   8  35        1
  460  WD_SPACE           -                 N    0  533 880 539 915   6  35        0
  461  WD_SPACE           -                 N    0  563 880 574 915  11  35        0
  462  H_RUN              -                 Y    1  574 880 582 915   8  35        1
  463  WD_SPACE           -                 N    0  582 880 586 915   4  35        0
  464  WD_SPACE           -                 N    0  602 880 615 915  13  35        0
  465  H_RUN              -                 Y    1  615 880 623 915   8  35        1
  466  WD_SPACE           -                 N    0  623 880 635 915  12  35        0
  467  WIDE_SPACE         -                 N    0  898 880 950 915  52  35        0
  468  H_RUN              -                 Y    1  950 880 958 915   8  35        1
  469  WD_SPACE           -                 N    0  958 880 962 915   4  35        0
  470  WD_SPACE           -                 N    0  972 880 988 915  16  35        0
  471  H_RUN              -                 Y    1  988 880 996 915   8  35        1
  472  WD_SPACE           -                 N    0  996 880 1003 915   7  35        0
  473  WD_SPACE           -                 N    0  1029 880 1038 915   9  35        0
  474  H_RUN              -                 Y    1  1038 880 1046 915   8  35        1
  475  WD_SPACE           -                 N    0  1046 880 1050 915   4  35        0
  476  WD_SPACE           -                 N    0  1060 880 1077 915  17  35        0
  477  H_RUN              -                 Y    1  1077 880 1085 915   8  35        1
  478  WD_SPACE           -                 N    0  1085 880 1107 915  22  35        0
  479  H_RUN              -                 Y    5  119 882 208 906  89  24        5
  480  H_RUN              -                 Y    1  410 882 430 906  20  24        1
  481  WD_SPACE           -                 N    0  430 882 441 915  11  33        0
  482  H_RUN              -                 Y    1  539 882 563 910  24  28        1
  483  H_RUN              -                 Y    3  635 882 688 906  53  24        3
  484  H_RUN              -                 Y    1  878 882 898 906  20  24        1
  485  H_RUN              -                 Y    1  1003 882 1029 906  26  24        1
  486  H_RUN              -                 Y    3  1107 882 1161 906  54  24        3
  487  H_RUN              -                 Y    3  1255 882 1293 906  38  24        3
  488  H_RUN              -                 Y    4  1353 882 1415 906  62  24        4
  489  WD_SPACE           -                 N    0  1415 882 1424 906   9  24        0
  490  H_RUN              -                 Y   10  1424 882 1579 906 155  24       10
  491  WD_SPACE           -                 N    0  208 884 217 915   9  31        0
  492  H_RUN              -                 Y    1  217 884 235 915  18  31        1
  493  H_RUN              -                 Y    1  441 884 459 915  18  31        1
  494  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  370 885 386 886  16   1        1
  495  H_RUN              -                 Y    2  698 885 729 915  31  30        2
  496  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  839 885 855 886  16   1        1
  497  H_RUN              -                 Y    3  901 885 944 915  43  30        3
  498  H_RUN              -                 Y    3  1169 885 1223 906  54  21        3
  499  WD_SPACE           -                 N    0  1345 885 1353 906   8  21        0
  500  H_RUN              -                 Y    1  497 890 513 906  16  16        1
  501  H_RUN              -                 Y    1  586 890 602 906  16  16        1
  502  H_RUN              -                 Y    1  962 890 972 906  10  16        1
  503  H_RUN              -                 Y    1  1050 890 1060 906  10  16        1
  504  WD_SPACE           -                 N    0  1161 890 1169 906   8  16        0
  505  WIDE_SPACE         -                 N    0  1223 890 1255 906  32  16        0
  506  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1224 890 1253 915  29  25        1
  507  WD_SPACE           -                 N    0  1293 890 1302 906   9  16        0
  508  H_RUN              -                 Y    3  1302 890 1345 906  43  16        3
  509  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  282 893 305 894  23   1        1
  510  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  756 893 779 894  23   1        1
  511  WD_SPACE           -                 N    0  729 894 737 912   8  18        0
  512  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  372 899 381 917   9  18        1
  513  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  433 899 438 911   5  12        1
  514  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  461 899 478 911  17  12        1
  515  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  516 899 521 911   5  12        1
  516  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  605 899 610 911   5  12        1
  517  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  849 899 858 917   9  18        1
  518  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  975 899 984 911   9  12        1
  519  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1064 899 1073 911   9  12        1
  520  H_RUN              -                 Y    1  236 900 253 912  17  12        1
  521  WD_SPACE           -                 N    0  253 900 262 912   9  12        0
  522  H_RUN              -                 Y    1  262 900 267 912   5  12        1
  523  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  282 900 305 901  23   1        1
  524  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  562 900 567 912   5  12        1
  525  H_RUN              -                 Y    1  737 900 742 912   5  12        1
  526  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  756 900 779 901  23   1        1
  527  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1027 900 1032 912   5  12        1
  528  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  344 905 349 917   5  12        1
  529  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  818 905 827 917   9  12        1
  530  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  352 907 369 908  17   1        1
  531  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  830 907 847 908  17   1        1
  532  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  352 913 369 914  17   1        1
  533  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  830 913 847 914  17   1        1
  534  WIDE_SPACE         -                 N    0  305 948 333 972  28  24        0
  535  H_RUN              -                 Y    2  333 948 377 972  44  24        2
  536  H_RUN              -                 Y    4  421 948 483 972  62  24        4
  537  WD_SPACE           -                 N    0  483 948 493 972  10  24        0
  538  H_RUN              -                 Y   15  493 948 718 972 225  24       15
  539  H_RUN              -                 Y    3  727 948 782 972  55  24        3
  540  WD_SPACE           -                 N    0  782 948 791 972   9  24        0
  541  WD_SPACE           -                 N    0  1072 948 1082 972  10  24        0
  542  H_RUN              -                 Y    4  1082 948 1157 972  75  24        4
  543  WD_SPACE           -                 N    0  1305 948 1325 972  20  24        0
  544  H_RUN              -                 Y    4  1325 948 1391 972  66  24        4
  545  WD_SPACE           -                 N    0  1391 948 1399 972   8  24        0
  546  H_RUN              -                 Y    3  1446 948 1490 972  44  24        3
  547  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  119 949 137 972  18  23        1
  548  H_RUN              -                 Y    1  1399 949 1417 972  18  23        1
  549  WIDE_SPACE         -                 N    0  1417 949 1446 972  29  23        0
  550  WD_SPACE           -                 N    0  943 951 952 972   9  21        0
  551  H_RUN              -                 Y    5  952 951 1033 972  81  21        5
  552  H_RUN              -                 Y    2  166 956 198 972  32  16        2
  553  WD_SPACE           -                 N    0  198 956 219 972  21  16        0
  554  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  199 956 218 981  19  25        1
  555  H_RUN              -                 Y    6  219 956 305 972  86  16        6
  556  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  306 956 323 981  17  25        1
  557  WD_SPACE           -                 N    0  377 956 387 972  10  16        0
  558  H_RUN              -                 Y    1  387 956 399 972  12  16        1
  559  WD_SPACE           -                 N    0  399 956 421 972  22  16        0
  560  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  400 956 419 981  19  25        1
  561  WD_SPACE           -                 N    0  718 956 727 972   9  16        0
  562  H_RUN              -                 Y    2  791 956 818 972  27  16        2
  563  WD_SPACE           -                 N    0  818 956 838 972  20  16        0
  564  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  820 956 837 981  17  25        1
  565  H_RUN              -                 Y    7  838 956 943 972 105  16        7
  566  WD_SPACE           -                 N    0  1033 956 1044 972  11  16        0
  567  H_RUN              -                 Y    2  1044 956 1072 972  28  16        2
  568  WD_SPACE           -                 N    0  1157 956 1167 972  10  16        0
  569  H_RUN              -                 Y    4  1167 956 1243 972  76  16        4
  570  WD_SPACE           -                 N    0  1243 956 1253 972  10  16        0
  571  H_RUN              -                 Y    3  1253 956 1305 972  52  16        3
  572  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1307 956 1324 981  17  25        1
  573  WD_SPACE           -                 N    0  1490 956 1501 972  11  16        0
  574  H_RUN              -                 Y    5  1501 956 1573 972  72  16        5
  575  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  138 957 156 981  18  24        1
  576  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1418 957 1436 981  18  24        1
  577  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1575 963 1584 965   9   2        1
  578  H_RUN              -                 Y    7  121 1014 259 1047 138  33        7
  579  WD_SPACE           -                 N    0  339 1014 348 1038   9  24        0
  580  H_RUN              -                 Y    8  348 1014 484 1038 136  24        8
  581  H_RUN              -                 Y    3  601 1014 656 1038  55  24        3
  582  WD_SPACE           -                 N    0  656 1014 666 1047  10  33        0
  583  WIDE_SPACE         -                 N    0  686 1014 719 1047  33  33        0
  584  H_RUN              -                 Y    2  719 1014 773 1038  54  24        2
  585  H_RUN              -                 Y   12  783 1014 944 1038 161  24       12
  586  H_RUN              -                 Y    3  1013 1014 1068 1038  55  24        3
  587  WD_SPACE           -                 N    0  1068 1014 1078 1038  10  24        0
  588  H_RUN              -                 Y    1  1078 1014 1092 1038  14  24        1
  589  WIDE_SPACE         -                 N    0  1092 1014 1126 1038  34  24        0
  590  H_RUN              -                 Y    6  1126 1014 1229 1038 103  24        6
  591  H_RUN              -                 Y    3  1239 1014 1283 1038  44  24        3
  592  H_RUN              -                 Y    2  1498 1014 1526 1038  28  24        2
  593  WD_SPACE           -                 N    0  1526 1014 1535 1038   9  24        0
  594  H_RUN              -                 Y    3  1535 1014 1579 1038  44  24        3
  595  WD_SPACE           -                 N    0  259 1015 266 1047   7  32        0
  596  H_RUN              -                 Y    5  266 1015 339 1038  73  23        5
  597  H_RUN              -                 Y   13  1293 1015 1487 1038 194  23       13
  598  WD_SPACE           -                 N    0  484 1016 495 1047  11  31        0
  599  H_RUN              -                 Y    1  495 1016 513 1047  18  31        1
  600  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  544 1016 562 1047  18  31        1
  601  H_RUN              -                 Y    1  666 1017 686 1047  20  30        1
  602  WD_SPACE           -                 N    0  1229 1017 1239 1038  10  21        0
  603  WD_SPACE           -                 N    0  773 1022 783 1038  10  16        0
  604  WD_SPACE           -                 N    0  944 1022 954 1047  10  25        0
  605  H_RUN              -                 Y    1  954 1022 969 1047  15  25        1
  606  WIDE_SPACE         -                 N    0  969 1022 1013 1047  44  25        0
  607  WD_SPACE           -                 N    0  1283 1022 1293 1038  10  16        0
  608  WD_SPACE           -                 N    0  1487 1022 1498 1038  11  16        0
  609  H_RUN              -                 Y    2  514 1027 533 1045  19  18        2
  610  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  687 1027 698 1045  11  18        1
  611  H_RUN              -                 Y    2  972 1027 1001 1045  29  18        2
  612  WIDE_SPACE         -                 N    0  1001 1027 1093 1045  92  18        0
  613  H_RUN              -                 Y    2  1093 1027 1115 1045  22  18        2
  614  WIDE_SPACE         -                 N    0  533 1031 564 1043  31  12        0
  615  H_RUN              -                 Y    1  564 1031 581 1043  17  12        1
  616  WD_SPACE           -                 N    0  581 1031 585 1043   4  12        0
  617  H_RUN              -                 Y    1  585 1034 591 1043   6   9        1
  618  WD_SPACE           -                 N    0  819 1078 824 1113   5  35        0
  619  H_RUN              -                 Y    1  824 1078 832 1113   8  35        1
  620  WD_SPACE           -                 N    0  832 1078 837 1113   5  35        0
  621  WD_SPACE           -                 N    0  878 1078 883 1113   5  35        0
  622  H_RUN              -                 Y    1  883 1078 891 1113   8  35        1
  623  WD_SPACE           -                 N    0  891 1078 904 1113  13  35        0
  624  WD_SPACE           -                 N    0  985 1078 990 1113   5  35        0
  625  H_RUN              -                 Y    1  990 1078 998 1113   8  35        1
  626  WD_SPACE           -                 N    0  998 1078 1003 1113   5  35        0
  627  WD_SPACE           -                 N    0  1038 1078 1043 1113   5  35        0
  628  H_RUN              -                 Y    1  1043 1078 1051 1113   8  35        1
  629  WD_SPACE           -                 N    0  1051 1078 1071 1113  20  35        0
  630  WD_SPACE           -                 N    0  595 1080 605 1113  10  33        0
  631  H_RUN              -                 Y    2  605 1080 649 1104  44  24        2
  632  WD_SPACE           -                 N    0  649 1080 658 1104   9  24        0
  633  H_RUN              -                 Y    9  658 1080 794 1104 136  24        9
  634  H_RUN              -                 Y    2  904 1080 959 1104  55  24        2
  635  WD_SPACE           -                 N    0  959 1080 968 1113   9  33        0
  636  H_RUN              -                 Y    1  968 1080 985 1113  17  33        1
  637  H_RUN              -                 Y   11  1071 1080 1247 1113 176  33       11
  638  H_RUN              -                 Y    5  119 1081 192 1104  73  23        5
  639  H_RUN              -                 Y    1  837 1082 846 1104   9  22        1
  640  WD_SPACE           -                 N    0  846 1082 862 1104  16  22        0
  641  H_RUN              -                 Y    1  1003 1082 1012 1104   9  22        1
  642  WD_SPACE           -                 N    0  1012 1082 1028 1104  16  22        0
  643  H_RUN              -                 Y   12  411 1083 595 1113 184  30       12
  644  WD_SPACE           -                 N    0  192 1088 202 1104  10  16        0
  645  H_RUN              -                 Y   10  202 1088 364 1113 162  25       10
  646  WD_SPACE           -                 N    0  364 1088 374 1104  10  16        0
  647  H_RUN              -                 Y    1  374 1088 402 1104  28  16        1
  648  WD_SPACE           -                 N    0  402 1088 411 1104   9  16        0
  649  WD_SPACE           -                 N    0  794 1088 804 1113  10  25        0
  650  H_RUN              -                 Y    1  804 1088 819 1113  15  25        1
  651  H_RUN              -                 Y    1  862 1088 878 1104  16  16        1
  652  H_RUN              -                 Y    1  1028 1088 1038 1104  10  16        1
  653  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  848 1100 854 1109   6   9        1
  654  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1014 1100 1020 1109   6   9        1
  655  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1056 1100 1062 1109   6   9        1
  656  H_RUN              -                 Y    4  771 1145 840 1170  69  25        4
  657  WD_SPACE           -                 N    0  840 1145 850 1170  10  25        0
  658  H_RUN              -                 Y    9  170 1146 352 1179 182  33        9
  659  H_RUN              -                 Y    3  361 1146 406 1170  45  24        3
  660  WD_SPACE           -                 N    0  691 1146 701 1177  10  31        0
  661  H_RUN              -                 Y    2  701 1146 725 1177  24  31        2
  662  H_RUN              -                 Y    2  735 1146 761 1177  26  31        2
  663  WD_SPACE           -                 N    0  761 1146 771 1177  10  31        0
  664  H_RUN              -                 Y    3  918 1146 963 1170  45  24        3
  665  WD_SPACE           -                 N    0  963 1146 974 1170  11  24        0
  666  H_RUN              -                 Y    5  974 1146 1069 1170  95  24        5
  667  WD_SPACE           -                 N    0  1069 1146 1078 1170   9  24        0
  668  H_RUN              -                 Y    5  1078 1146 1172 1170  94  24        5
  669  WD_SPACE           -                 N    0  1172 1146 1182 1170  10  24        0
  670  WD_SPACE           -                 N    0  1212 1146 1222 1177  10  31        0
  671  H_RUN              -                 Y    2  1222 1146 1246 1177  24  31        2
  672  H_RUN              -                 Y    2  1256 1146 1282 1177  26  31        2
  673  WD_SPACE           -                 N    0  1282 1146 1292 1179  10  33        0
  674  H_RUN              -                 Y    6  1292 1146 1381 1179  89  33        6
  675  WD_SPACE           -                 N    0  1407 1146 1417 1170  10  24        0
  676  H_RUN              -                 Y   10  1417 1146 1579 1170 162  24       10
  677  WD_SPACE           -                 N    0  725 1147 735 1170  10  23        0
  678  WD_SPACE           -                 N    0  1246 1147 1256 1170  10  23        0
  679  WD_SPACE           -                 N    0  352 1149 361 1179   9  30        0
  680  H_RUN              -                 Y   11  417 1149 651 1179 234  30       11
  681  H_RUN              -                 Y    4  850 1149 907 1170  57  21        4
  682  WD_SPACE           -                 N    0  907 1149 918 1170  11  21        0
  683  WD_SPACE           -                 N    0  406 1154 417 1170  11  16        0
  684  WD_SPACE           -                 N    0  651 1154 661 1170  10  16        0
  685  H_RUN              -                 Y    2  661 1154 691 1170  30  16        2
  686  H_RUN              -                 Y    2  1182 1154 1212 1170  30  16        2
  687  WD_SPACE           -                 N    0  1381 1154 1392 1170  11  16        0
  688  H_RUN              -                 Y    1  1392 1155 1407 1170  15  15        1
  689  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  539 1212 595 1237  56  25        1
  690  H_RUN              -                 Y    4  237 1213 293 1237  56  24        4
  691  WD_SPACE           -                 N    0  325 1213 334 1237   9  24        0
  692  H_RUN              -                 Y    5  334 1213 417 1237  83  24        5
  693  H_RUN              -                 Y    3  465 1213 509 1237  44  24        3
  694  H_RUN              -                 Y   12  670 1213 832 1237 162  24       12
  695  WD_SPACE           -                 N    0  228 1216 237 1237   9  21        0
  696  WD_SPACE           -                 N    0  293 1216 302 1237   9  21        0
  697  WD_SPACE           -                 N    0  456 1216 465 1237   9  21        0
  698  H_RUN              -                 Y    7  119 1221 228 1237 109  16        7
  699  H_RUN              -                 Y    2  302 1221 325 1237  23  16        2
  700  WD_SPACE           -                 N    0  417 1221 427 1237  10  16        0
  701  H_RUN              -                 Y    2  427 1221 456 1237  29  16        2
  702  WD_SPACE           -                 N    0  509 1221 519 1237  10  16        0
  703  H_RUN              -                 Y    1  519 1221 538 1237  19  16        1
  704  H_RUN              -                 Y    3  597 1221 661 1237  64  16        3
  705  WD_SPACE           -                 N    0  661 1221 670 1237   9  16        0
  706  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  566 1298 583 1316  17  18        1
  707  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  621 1298 638 1316  17  18        1
  708  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  893 1298 910 1316  17  18        1
  709  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  944 1303 961 1321  17  18        1
  710  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  583 1309 593 1324  10  15        1
  711  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  638 1309 648 1324  10  15        1
  712  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  910 1309 920 1324  10  15        1
  713  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  961 1315 970 1325   9  10        1
  714  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  793 1328 811 1332  18   4        1
  715  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1104 1328 1122 1332  18   4        1
  716  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  563 1329 598 1371  35  42        1
  717  H_RUN              -                 Y    1  618 1329 653 1371  35  42        1
  718  WD_SPACE           -                 N    0  653 1329 667 1371  14  42        0
  719  WIDE_SPACE         -                 N    0  842 1329 891 1371  49  42        0
  720  H_RUN              -                 Y    1  891 1329 926 1371  35  42        1
  721  WD_SPACE           -                 N    0  926 1329 941 1371  15  42        0
  722  H_RUN              -                 Y    1  941 1329 976 1371  35  42        1
  723  WIDE_SPACE         -                 N    0  976 1329 1002 1371  26  42        0
  724  WD_SPACE           -                 N    0  464 1332 475 1367  11  35        0
  725  H_RUN              -                 Y    1  475 1332 483 1367   8  35        1
  726  WD_SPACE           -                 N    0  483 1332 487 1367   4  35        0
  727  WD_SPACE           -                 N    0  496 1332 500 1367   4  35        0
  728  H_RUN              -                 Y    1  500 1332 508 1367   8  35        1
  729  H_RUN              -                 Y    1  753 1332 761 1367   8  35        1
  730  WD_SPACE           -                 N    0  761 1332 765 1367   4  35        0
  731  WD_SPACE           -                 N    0  774 1332 778 1367   4  35        0
  732  H_RUN              -                 Y    1  778 1332 786 1367   8  35        1
  733  H_RUN              -                 Y    1  1062 1332 1070 1367   8  35        1
  734  WD_SPACE           -                 N    0  1070 1332 1074 1367   4  35        0
  735  WD_SPACE           -                 N    0  1083 1332 1087 1367   4  35        0
  736  H_RUN              -                 Y    1  1087 1332 1095 1367   8  35        1
  737  H_RUN              -                 Y    1  1216 1332 1224 1367   8  35        1
  738  WD_SPACE           -                 N    0  1224 1332 1229 1367   5  35        0
  739  WD_SPACE           -                 N    0  1238 1332 1242 1367   4  35        0
  740  H_RUN              -                 Y    1  1242 1332 1250 1367   8  35        1
  741  H_RUN              -                 Y    1  440 1334 464 1362  24  28        1
  742  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  987 1334 1001 1358  14  24        1
  743  H_RUN              -                 Y    1  487 1336 496 1358   9  22        1
  744  WD_SPACE           -                 N    0  714 1336 718 1367   4  31        0
  745  H_RUN              -                 Y    2  718 1336 748 1367  30  31        2
  746  WIDE_SPACE         -                 N    0  748 1336 791 1367  43  31        0
  747  H_RUN              -                 Y    1  765 1336 774 1358   9  22        1
  748  H_RUN              -                 Y    2  791 1336 828 1367  37  31        2
  749  WD_SPACE           -                 N    0  1024 1336 1028 1367   4  31        0
  750  H_RUN              -                 Y    2  1028 1336 1057 1367  29  31        2
  751  H_RUN              -                 Y    1  1074 1336 1083 1358   9  22        1
  752  H_RUN              -                 Y    1  1229 1336 1238 1358   9  22        1
  753  WIDE_SPACE         -                 N    0  1057 1337 1100 1367  43  30        0
  754  H_RUN              -                 Y    2  1100 1337 1132 1367  32  30        2
  755  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  853 1338 876 1361  23  23        1
